Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.00031336799997916387 Sec  2015-09-28 12:50:26.715790 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.0002251040000373905 Sec  2015-09-29 14:21:38.508467 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.00023451900000281967 Sec  2015-09-29 14:23:39.831018 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.0005158969999570218 Sec  2015-09-29 18:07:28.563884 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.0005036569999674612 Sec  2015-09-29 18:15:11.975496 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.000501918000054502 Sec  2015-09-29 18:22:56.983292 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.1939543969999704 Sec  2015-09-29 18:23:51.499756 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.18344672800003536 Sec  2015-09-29 18:26:00.505844 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.38250025399997867 Sec  2015-09-29 18:29:26.961791 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.38968846399984614 Sec  2015-09-29 18:30:07.406394 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.52302789700002 Sec  2015-09-29 18:31:09.899245 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 3.1599438970001756 Sec  2015-09-29 18:37:33.102865 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 3.2141697309998563 Sec  2015-09-29 18:38:46.464624 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.34413736099986636 Sec  2015-09-29 18:41:24.036632 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.37843886000018756 Sec  2015-09-29 18:42:43.850352 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.00033679299986033584 Sec  2015-09-29 18:43:44.803611 CPU: i386
Manual Function : ,Input Var Number: 5 Input Operation Number: 8 Elapsed Time: 0.0006074619959690608 Sec  2015-09-30 13:53:00.175626 CPU: i386
Manual Function : ,Input Var Number: 5 Input Operation Number: 8 Elapsed Time: 0.0006233040039660409 Sec  2015-09-30 13:54:46.704636 CPU: i386
Manual Function : ,Input Var Number: 5 Input Operation Number: 8 Elapsed Time: 0.0006375439988914877 Sec  2015-09-30 14:18:03.804419 CPU: i386
